"year","carbon_dioxide"
1950,1.2508082419217366
1951,1.2506532385041196
1952,1.2537610926834284
1953,1.2599001393778293
1954,1.2688781774209235
1955,1.2805379954809808
1956,1.2947535125977296
1957,1.3114264568069811
1958,1.3304835153596308
1959,1.3518738987990755
1960,1.3755672688052298
1961,1.4069786768069554
1962,1.4314899204139873
1963,1.4734882444495554
1964,1.5241987682662799
1965,1.593983844200589
1966,1.6523972944975651
1967,1.7109359313252097
1968,1.75737000134034
1969,1.823040804942167
1970,1.9041012914110527
1971,2.0101347298735797
1972,2.1134030026566415
1973,2.2350111085805513
1974,2.373230748366799
1975,2.4574970280149766
1976,2.5134834678569278
1977,2.6622874434431307
1978,2.7776209446929565
1979,2.8833287013740767
1980,3.005288058639718
1981,3.149022166441329
1982,3.3229724830937934
1983,3.469173159952316
1984,3.684035494854399
1985,3.985722968601762
1986,4.288751865457228
1987,4.601535108203172
1988,4.97030191845006
1989,5.413532162792753
1990,5.85538547454818
1991,5.854326748360908
1992,5.806412818476545
1993,5.847905781160909
1994,5.88240420678409
1995,6.0119830981941815
1996,6.144768510722181
1997,6.186804676836273
1998,6.202190459950637
1999,6.262980719722526
2000,6.466107746545964
2001,6.528723487903774
2002,6.666909805733643
2003,6.983869206615134
2004,7.340867124499745
2005,7.5960259212883114
2006,7.834551137804453
2007,8.137830014502653
2008,8.171794616380664
2009,8.088389075513726
2010,8.485311792427717
2011,8.736587298588736
2012,8.897934396121116
2013,9.1675677371622
2014,9.223459980010281
2015,9.215041876947543
2016,9.412759616725532
2017,9.610477356503521
2018,9.808195096281501
2019,10.005912836059494
2020,10.203630575837474
2021,10.469732420874593
2022,10.735834265911718
2023,11.001936110948838
2024,11.268037955985957
2025,11.534139801023075
2026,11.800241646060197
2027,12.066343491097317
2028,12.332445336134441
2029,12.598547181171558
2030,12.864649026208681
2031,13.21435166035488
2032,13.564054294501076
2033,13.913756928647272
2034,14.263459562793473
2035,14.61316219693967
2036,14.96286483108587
2037,15.312567465232062
2038,15.662270099378263
2039,16.01197273352446
2040,16.36167536767066
2041,16.747208679221547
2042,17.132741990772438
2043,17.51827530232332
2044,17.903808613874205
2045,18.289341925425088
2046,18.674875236975975
2047,19.06040854852687
2048,19.445941860077745
2049,19.831475171628636
2050,20.21700848317953
2051,20.667967234875128
2052,21.118925986570726
2053,21.56988473826634
2054,22.020843489961933
2055,22.471802241657535
2056,22.92276099335315
2057,23.37371974504876
2058,23.82467849674435
2059,24.275637248439967
2060,24.726596000135565
2061,25.134762706867633
2062,25.54292941359972
2063,25.951096120331794
2064,26.359262827063873
2065,26.767429533795955
2066,27.175596240528044
2067,27.583762947260116
2068,27.991929653992205
2069,28.40009636072429
2070,28.808263067456366
2071,29.111977936955544
2072,29.415692806454732
2073,29.71940767595392
2074,30.02312254545311
2075,30.326837414952294
2076,30.630552284451486
2077,30.934267153950668
2078,31.237982023449863
2079,31.54169689294904
2080,31.845411762448236
2081,31.871699275108114
2082,31.897986787767998
2083,31.924274300427882
2084,31.950561813087784
2085,31.976849325747658
2086,32.00313683840754
2087,32.029424351067426
2088,32.05571186372732
2089,32.0819993763872
2090,32.10828688904708
2091,32.026274655823066
2092,31.944262422599035
2093,31.862250189375015
2094,31.78023795615099
2095,31.698225722926974
2096,31.616213489702943
2097,31.53420125647892
2098,31.452189023254892
2099,31.37017679003087
2100,31.288164556806855
2101,31.21337932418003
2102,31.140613925913847
2103,31.069804972451845
2104,31.000890454779114
2105,30.93380970698386
2106,30.868503370079345
2107,30.80491335704456
2108,30.742982819043252
2109,30.682656112782457
2110,30.62387876897261
2111,30.56659746185253
2112,30.510759979744428
2113,30.456315196603914
2114,30.40321304453275
2115,30.351404487221355
2116,30.300841494290847
2117,30.251477016503934
2118,30.203264961816007
2119,30.15616017223799
2120,30.11011840148394
2121,30.0650962933768
2122,30.021051360987045
2123,29.977941966479246
2124,29.93572730164289
