"year","carbon_dioxide"
1950,1.2508082419217361
1951,1.2506532385041194
1952,1.2537610926834282
1953,1.2599001393778289
1954,1.2688781774209232
1955,1.2805379954809806
1956,1.2947535125977296
1957,1.311426456806981
1958,1.3304835153596304
1959,1.351873898799075
1960,1.3755672688052296
1961,1.4069786768069552
1962,1.431489920413987
1963,1.4734882444495552
1964,1.5241987682662794
1965,1.5939838442005887
1966,1.6523972944975645
1967,1.7109359313252095
1968,1.7573700013403395
1969,1.8230408049421665
1970,1.9041012914110527
1971,2.010134729873579
1972,2.1134030026566415
1973,2.2350111085805504
1974,2.3732307483667983
1975,2.4574970280149766
1976,2.513483467856927
1977,2.66228744344313
1978,2.777620944692956
1979,2.8833287013740767
1980,3.0052880586397177
1981,3.1490221664413287
1982,3.322972483093793
1983,3.4691731599523146
1984,3.684035494854399
1985,3.985722968601762
1986,4.288751865457228
1987,4.601535108203171
1988,4.97030191845006
1989,5.413532162792753
1990,5.85538547454818
1991,5.854326748360908
1992,5.806412818476545
1993,5.847905781160909
1994,5.88240420678409
1995,6.0119830981941815
1996,6.144768510722181
1997,6.186804676836273
1998,6.202190459950637
1999,6.262980719722526
2000,6.466107746545964
2001,6.528723487903774
2002,6.666909805733643
2003,6.983869206615134
2004,7.340867124499745
2005,7.5960259212883114
2006,7.834551137804453
2007,8.137830014502653
2008,8.171794616380664
2009,8.088389075513726
2010,8.485311792427717
2011,8.736587298588736
2012,8.897934396121116
2013,9.1675677371622
2014,9.223459980010281
2015,9.215041876947543
2016,9.308315028200452
2017,9.401588179453356
2018,9.494861330706268
2019,9.588134481959168
2020,9.68140763321208
2021,9.833726750403331
2022,9.986045867594594
2023,10.138364984785852
2024,10.290684101977108
2025,10.443003219168366
2026,10.595322336359626
2027,10.74764145355088
2028,10.899960570742138
2029,11.052279687933398
2030,11.204598805124657
2031,11.2513943895451
2032,11.298189973965549
2033,11.344985558386
2034,11.391781142806442
2035,11.43857672722689
2036,11.485372311647335
2037,11.532167896067785
2038,11.578963480488227
2039,11.625759064908674
2040,11.672554649329124
2041,11.659384741075062
2042,11.646214832821006
2043,11.633044924566951
2044,11.619875016312893
2045,11.60670510805884
2046,11.593535199804784
2047,11.580365291550727
2048,11.567195383296667
2049,11.55402547504261
2050,11.540855566788554
2051,11.491753188877249
2052,11.442650810965949
2053,11.39354843305465
2054,11.344446055143347
2055,11.295343677232049
2056,11.246241299320745
2057,11.197138921409447
2058,11.148036543498145
2059,11.09893416558685
2060,11.049831787675549
2061,10.978387951996268
2062,10.906944116316991
2063,10.835500280637707
2064,10.76405644495843
2065,10.692612609279152
2066,10.621168773599873
2067,10.549724937920596
2068,10.478281102241317
2069,10.40683726656203
2070,10.335393430882755
2071,10.178142153554854
2072,10.020890876226954
2073,9.863639598899049
2074,9.706388321571149
2075,9.549137044243245
2076,9.391885766915344
2077,9.234634489587446
2078,9.077383212259539
2079,8.92013193493164
2080,8.76288065760374
2081,8.580105733543697
2082,8.397330809483652
2083,8.214555885423609
2084,8.031780961363564
2085,7.849006037303522
2086,7.666231113243478
2087,7.483456189183437
2088,7.300681265123393
2089,7.11790634106335
2090,6.9351314170033085
2091,6.740845736977783
2092,6.546560056952263
2093,6.352274376926738
2094,6.1579886969012145
2095,5.963703016875693
2096,5.769417336850168
2097,5.575131656824648
2098,5.380845976799124
2099,5.186560296773602
2100,4.99227461674808
2101,4.870617156218888
2102,4.753339048240315
2103,4.6402502931788066
2104,4.531169540936331
2105,4.425923683070251
2106,4.324347464998196
2107,4.226283117268917
2108,4.1315800049320295
2109,4.040094294088888
2110,3.9516886347535745
2111,3.8662318591976845
2112,3.7835986949947666
2113,3.7036694920205866
2114,3.626329962703444
2115,3.5514709348551072
2116,3.4789881164472582
2117,3.4087818717310214
2118,3.340757008128155
2119,3.274822573351808
2120,3.210891662242716
2121,3.1488812328331224
2122,3.0887119311757867
2123,3.0303079244993048
2124,2.9735967422734757
2125,2.918509124789862
2126,2.8649788788830324
2127,2.8129427404371574
2128,2.7623402433409128
2129,2.713113594570951
2130,2.6652075551005607
2131,2.618569326345741
2132,2.5731484418756154
2133,2.5288966641281174
2134,2.4857678858851036
2135,2.443718036273647
2136,2.4027049910721407
2137,2.3626884871111673
2138,2.3236300405697543
2139,2.2854928689778427
2140,2.2482418167453524
2141,2.211843284047434
2142,2.176265158904054
2143,2.141476752300364
2144,2.1074487362020036
2145,2.0741530843269076
2146,2.0415630155421796
2147,2.009652939761207
2148,1.978398406222508
2149,1.9477760540377598
2150,1.9177635649021114
2151,1.8883396178652545
2152,1.859483846066824
2153,1.8311767953445215
