"year","carbon_dioxide"
1950,1.2508082419217366
1951,1.2506532385041194
1952,1.2537610926834284
1953,1.2599001393778293
1954,1.2688781774209232
1955,1.2805379954809806
1956,1.2947535125977296
1957,1.311426456806981
1958,1.3304835153596304
1959,1.351873898799075
1960,1.3755672688052298
1961,1.4069786768069554
1962,1.4314899204139875
1963,1.4734882444495554
1964,1.5241987682662794
1965,1.593983844200589
1966,1.6523972944975647
1967,1.7109359313252095
1968,1.7573700013403395
1969,1.823040804942167
1970,1.9041012914110524
1971,2.010134729873579
1972,2.1134030026566415
1973,2.2350111085805513
1974,2.3732307483667987
1975,2.4574970280149766
1976,2.513483467856927
1977,2.6622874434431307
1978,2.777620944692956
1979,2.8833287013740776
1980,3.005288058639718
1981,3.1490221664413287
1982,3.3229724830937934
1983,3.469173159952316
1984,3.684035494854399
1985,3.985722968601762
1986,4.288751865457228
1987,4.601535108203172
1988,4.97030191845006
1989,5.4135321627927535
1990,5.85538547454818
1991,5.854326748360908
1992,5.806412818476545
1993,5.847905781160909
1994,5.88240420678409
1995,6.0119830981941815
1996,6.144768510722181
1997,6.186804676836273
1998,6.202190459950637
1999,6.262980719722526
2000,6.466107746545964
2001,6.528723487903774
2002,6.666909805733643
2003,6.983869206615134
2004,7.340867124499745
2005,7.5960259212883114
2006,7.834551137804453
2007,8.137830014502653
2008,8.171794616380664
2009,8.088389075513726
2010,8.485311792427717
2011,8.736587298588736
2012,8.897934396121116
2013,9.1675677371622
2014,9.223459980010281
2015,9.215041876947543
2016,9.498190544365256
2017,9.78133921178297
2018,10.064487879200684
2019,10.347636546618396
2020,10.630785214036111
2021,10.862706439323592
2022,11.094627664611082
2023,11.326548889898566
2024,11.558470115186058
2025,11.79039134047355
2026,12.02231256576103
2027,12.254233791048522
2028,12.48615501633601
2029,12.718076241623496
2030,12.94999746691098
2031,13.097891871832827
2032,13.245786276754675
2033,13.393680681676523
2034,13.541575086598362
2035,13.68946949152021
2036,13.837363896442058
2037,13.985258301363904
2038,14.133152706285752
2039,14.281047111207595
2040,14.428941516129445
2041,14.525679751862647
2042,14.622417987595846
2043,14.719156223329046
2044,14.815894459062248
2045,14.912632694795448
2046,15.009370930528647
2047,15.10610916626185
2048,15.20284740199506
2049,15.29958563772826
2050,15.396323873461458
2051,15.476172425270358
2052,15.556020977079266
2053,15.63586952888817
2054,15.715718080697075
2055,15.79556663250598
2056,15.875415184314887
2057,15.95526373612379
2058,16.035112287932698
2059,16.114960839741606
2060,16.194809391550503
2061,16.27750998058461
2062,16.36021056961871
2063,16.442911158652816
2064,16.525611747686927
2065,16.608312336721028
2066,16.691012925755132
2067,16.773713514789236
2068,16.856414103823344
2069,16.939114692857444
2070,17.021815281891552
2071,17.115857262746125
2072,17.20989924360069
2073,17.30394122445526
2074,17.397983205309835
2075,17.4920251861644
2076,17.586067167018978
2077,17.68010914787354
2078,17.774151128728114
2079,17.868193109582684
2080,17.96223509043725
2081,18.09044807161376
2082,18.218661052790278
2083,18.346874033966785
2084,18.475087015143302
2085,18.603299996319812
2086,18.73151297749633
2087,18.85972595867284
2088,18.98793893984935
2089,19.11615192102586
2090,19.244364902202374
2091,19.373975806847405
2092,19.503586711492424
2093,19.633197616137455
2094,19.76280852078249
2095,19.892419425427512
2096,20.022030330072543
2097,20.151641234717573
2098,20.281252139362596
2099,20.410863044007634
2100,20.540473948652654
2101,20.680091245211102
2102,20.82170625582909
2103,20.96534174661132
2104,21.111020249057614
2105,21.25876403042421
2106,21.408595063263274
2107,21.560534994149585
2108,21.714605111605856
2109,21.870826313239252
2110,22.02921907210335
2111,22.18980340230192
2112,22.352598823852194
2113,22.51762432682741
2114,22.68489833480006
2115,22.854438667609344
2116,23.026262503477785
2117,23.200386340504398
2118,23.376825957563213
2119,23.555596374638206
2120,23.736711812627437
2121,23.920185652651288
2122,24.106030394901346
2123,24.294257617068872
2124,24.48487793239324
2125,24.677900947372976
2126,24.87333521918382
2127,25.071188212850192
2128,25.27146625821813
2129,25.474174506779928
2130,25.679316888402088
2131,25.886896068010632
2132,26.096913402288532
2133,26.309368896443022
2134,26.52426116110084
2135,26.741587369392292
2136,26.961343214285396
2137,27.183522866233865
2138,27.40811893120335
2139,27.635122409141943
2140,27.86452265296234
2141,28.096307328103975
2142,28.3304623727445
2143,28.56697195873124
2144,28.80581845330398
2145,29.046982381680856
2146,29.29044239058069
2147,29.536175212754532
2148,29.78415563260069
2149,30.034356452937104
2150,30.286748463005456
2151,30.5413004077815
2152,30.797978958665837
2153,31.056748685629525
2154,31.317572030888243
2155,31.58040928417841
2156,31.845218559708186
2157,32.11195577485539
2158,32.380574630683455
2159,32.651026594345666
2160,32.92326088344659
2161,33.197224452428436
2162,33.47286198104837
2163,33.750115865011324
2164,34.028926208821225
2165,34.309230820911104
2166,34.59096521111104
2167,34.87406259051031
2168,35.15845387376782
2169,35.444067683922164
2170,35.730830359750534
2171,36.01866596572201
2172,36.3074963045886
2173,36.59724093265368
2174,36.8878171777548
2175,37.17914015999368
2176,37.471122815243646
2177,37.76367592146027
2178,38.056708127817714
2179,38.350125986689214
2180,38.64383398848652
2181,38.93773459936826
2182,39.231728301823814
2183,39.52571363813477
2184,39.819587256711195
2185,40.11324396129662
2186,40.406576763029754
2187,40.69947693534768
2188,40.99183407170966
2189,41.28353614611691
2190,41.57446957639818
2191,41.86451929022684
2192,42.15356879383026
2193,42.441500243347505
2194,42.728194518786395
2195,43.01353130052705
2196,43.297389148312895
2197,43.57964558266709
2198,43.860177168666375
2199,44.13885960200038
2200,44.41556779723961
2201,44.69248376547564
2202,44.9695441338536
2203,45.24668465909638
2204,45.52384024571387
2205,45.80094496502696
2206,46.077932075002586
2207,46.35473404089596
2208,46.63128255669402
2209,46.907508567354526
2210,47.18334229183389
2211,47.4587132468963
2212,47.733550271695115
2213,48.00778155311826
2214,48.281334651886695
2215,48.554136529396
2216,48.82611357528859
2217,49.097191635744956
2218,49.367296042480184
2219,49.63635164243205
2220,49.904282828125766
2221,50.17101356869995
2222,50.43646744157733
2223,50.7005676647632
2224,50.96323712975386
2225,51.224398435036036
2226,51.48397392015868
2227,51.74188570035631
2228,51.99805570170357
2229,52.25240569677951
2230,52.50485734081931
2231,52.75533220833078
2232,53.00375183015208
2233,53.250037730926486
2234,53.49411146696967
2235,53.7358946645043
2236,53.97530905823559
2237,54.212276530241866
2238,54.44671914915307
2239,54.678559209589544
2240,54.90771927183341
2241,55.13412220170402
2242,55.3576912106085
2243,55.578349895738434
2244,55.79602228038283
2245,56.01063285432746
2246,56.22210661431042
2247,56.4303691045028
2248,56.63534645698437
2249,56.83696543218238
2250,57.03515345924286
2251,57.22983867630236
2252,57.42094997062873
2253,57.60841701859938
2254,57.79217032548485
2255,57.972141265005774
2256,58.14826211863203
2257,58.320466114591035
2258,58.488687466554545
2259,58.652861411971244
2260,58.8129242500142
2261,58.968813379111204
2262,59.12046733402699
2263,59.26782582246605
2264,59.410829761165544
2265,59.54942131144715
2266,59.68354391419829
2267,59.81314232425243
2268,59.93816264413905
2269,60.0585523571742
2270,60.174260359863
2271,60.285236993586054
2272,60.39143407554189
2273,60.49280492891834
2274,60.58930441226656
2275,60.68088894805167
2276,60.767516550354415
2277,60.84914685169956
2278,60.925741128986964
2279,60.99726232850212
2280,61.06367508998334
2281,61.12494576972444
2282,61.18104246269157
2283,61.231935023634094
2284,61.2775950871704
2285,61.317996086830235
2286,61.35311327303585
2287,61.38292373000552
2288,61.40740639156359
2289,61.426542055842596
2290,61.44031339886312
2291,61.4487049869793
2292,61.451703288177484
2293,61.44929668221777
2294,61.44147546960812
2295,61.4282318794029
2296,61.40956007581756
2297,61.38545616365321
2298,61.35591819252528
2299,61.32094615989164
2300,61.280542012877206
2301,61.280542012877206
2302,61.280542012877206
2303,61.280542012877206
2304,61.280542012877206
2305,61.280542012877206
2306,61.280542012877206
2307,61.280542012877206
2308,61.280542012877206
2309,61.280542012877206
2310,61.280542012877206
2311,61.280542012877206
2312,61.280542012877206
2313,61.280542012877206
2314,61.280542012877206
2315,61.280542012877206
2316,61.280542012877206
2317,61.280542012877206
2318,61.280542012877206
2319,61.280542012877206
2320,61.280542012877206
2321,61.280542012877206
2322,61.280542012877206
2323,61.280542012877206
2324,61.280542012877206
2325,61.280542012877206
2326,61.280542012877206
2327,61.280542012877206
2328,61.280542012877206
2329,61.280542012877206
2330,61.280542012877206
