"year","carbon_dioxide"
1950,1.2508082419217361
1951,1.2506532385041194
1952,1.2537610926834284
1953,1.2599001393778293
1954,1.2688781774209235
1955,1.2805379954809808
1956,1.29475351259773
1957,1.311426456806981
1958,1.3304835153596306
1959,1.351873898799075
1960,1.3755672688052298
1961,1.4069786768069554
1962,1.4314899204139873
1963,1.4734882444495552
1964,1.5241987682662796
1965,1.5939838442005887
1966,1.6523972944975651
1967,1.7109359313252095
1968,1.7573700013403395
1969,1.823040804942167
1970,1.9041012914110527
1971,2.010134729873579
1972,2.113403002656642
1973,2.2350111085805513
1974,2.3732307483667987
1975,2.4574970280149766
1976,2.5134834678569278
1977,2.6622874434431307
1978,2.777620944692956
1979,2.8833287013740767
1980,3.0052880586397177
1981,3.1490221664413287
1982,3.3229724830937926
1983,3.4691731599523146
1984,3.684035494854398
1985,3.985722968601762
1986,4.288751865457228
1987,4.601535108203172
1988,4.97030191845006
1989,5.413532162792753
1990,5.85538547454818
1991,5.854326748360908
1992,5.806412818476545
1993,5.847905781160909
1994,5.88240420678409
1995,6.0119830981941815
1996,6.144768510722181
1997,6.186804676836273
1998,6.202190459950637
1999,6.262980719722526
2000,6.466107746545964
2001,6.528723487903774
2002,6.666909805733643
2003,6.983869206615134
2004,7.340867124499745
2005,7.5960259212883114
2006,7.834551137804453
2007,8.137830014502653
2008,8.171794616380664
2009,8.088389075513726
2010,8.485311792427717
2011,8.736587298588736
2012,8.897934396121116
2013,9.1675677371622
2014,9.223459980010281
2015,9.215041876947543
2016,9.287609139304292
2017,9.360176401661038
2018,9.432743664017785
2019,9.505310926374525
2020,9.577878188731273
2021,9.646820039018408
2022,9.715761889305545
2023,9.784703739592684
2024,9.853645589879823
2025,9.922587440166954
2026,9.991529290454093
2027,10.06047114074123
2028,10.12941299102837
2029,10.198354841315506
2030,10.267296691602642
2031,10.295585591756824
2032,10.323874491911003
2033,10.352163392065187
2034,10.38045229221937
2035,10.408741192373549
2036,10.437030092527733
2037,10.46531899268191
2038,10.493607892836094
2039,10.521896792990274
2040,10.550185693144453
2041,10.558330201978915
2042,10.566474710813374
2043,10.574619219647838
2044,10.582763728482304
2045,10.590908237316762
2046,10.599052746151221
2047,10.607197254985683
2048,10.615341763820144
2049,10.623486272654604
2050,10.631630781489068
2051,10.582279236464656
2052,10.532927691440237
2053,10.483576146415823
2054,10.434224601391408
2055,10.384873056366997
2056,10.335521511342584
2057,10.286169966318162
2058,10.236818421293751
2059,10.187466876269339
2060,10.138115331244924
2061,10.007023993416622
2062,9.87593265558832
2063,9.744841317760015
2064,9.613749979931715
2065,9.482658642103415
2066,9.351567304275115
2067,9.22047596644681
2068,9.089384628618513
2069,8.958293290790209
2070,8.827201952961905
2071,8.619596992160504
2072,8.411992031359105
2073,8.204387070557704
2074,7.996782109756307
2075,7.789177148954905
2076,7.581572188153504
2077,7.373967227352103
2078,7.166362266550704
2079,6.958757305749302
2080,6.751152344947903
2081,6.5045429273665425
2082,6.257933509785181
2083,6.011324092203822
2084,5.76471467462246
2085,5.518105257041101
2086,5.271495839459739
2087,5.024886421878378
2088,4.77827700429702
2089,4.531667586715658
2090,4.285058169134298
2091,4.128981402476232
2092,3.9729046358181677
2093,3.8168278691601025
2094,3.660751102502037
2095,3.5046743358439727
2096,3.3485975691859067
2097,3.192520802527843
2098,3.036444035869777
2099,2.880367269211712
2100,2.724290502553646
2101,2.6629004238081424
2102,2.603378974596799
2103,2.545660505630476
2104,2.489681900062995
2105,2.435382469460247
2106,2.3827038543439887
2107,2.331589929099566
2108,2.2819867110469363
2109,2.2338422734838415
2110,2.1871066625190654
2111,2.1417318175223703
2112,2.0976714950258506
2113,2.0548811959192936
2114,2.0133180957895025
2115,1.9729409782606326
2116,1.933710171199259
2117,1.895587485654295
2118,1.8585361574079529
2119,1.8225207910196835
2120,1.7875073062505566
2121,1.7534628867607498
2122,1.7203559309777858
2123,1.688156005037923
2124,1.6568337977075411
2125,1.6263610771957515
2126,1.5967106497734425
2127,1.5678563201179343
2128,1.5397728533060884
2129,1.5124359383822348
2130,1.4858221534306613
2131,1.4599089320855978
2132,1.4346745314146712
2133,1.4100980011147197
2134,1.3861591539616183
2135,1.362838537458411
2136,1.3401174066285497
2137,1.3179776979034465
2138,1.2964020040558282
2139,1.27537355013256
2140,1.254876170342691
2141,1.234894285858443
2142,1.2154128834887774
2143,1.1964174951869586
2144,1.177894178355268
2145,1.1598294969116754
2146,1.1422105030848018
2147,1.1250247199050867
2148,1.108260124361407
2149,1.0919051311938464
2150,1.0759485772945643
2151,1.0603797066899918
2152,1.0451881560787597
